ORDER_ID,CUSTOMER_ID,PRODUCT_ID,STORE_ID,EMPLOYEE_ID,ORDER_DATE,SHIP_DATE,QUANTITY_ORDERED,UNIT_PRICE,DISCOUNT_PERCENT,TOTAL_AMOUNT,PAYMENT_METHOD,ORDER_STATUS,SHIP_METHOD
66,768,615,20,224,2024-01-29,2024-01-31,2,8669,5.32,16416.35,EasyPaisa,Shipped,Express
67,1450,744,57,236,2023-10-30,,3,40044,10.49,107529.22,Debit Card,Processing,Same Day
68,876,389,10,225,2024-04-30,,3,42908,15.37,108937.8,Debit Card,Processing,Express
69,1217,198,6,58,2023-10-15,,1,32332,19.48,26034.19,EasyPaisa,Pending,Same Day
70,1088,143,2,228,2024-12-14,2024-12-21,1,24531,17.69,20190.59,EasyPaisa,Shipped,Courier
71,1865,661,41,36,2024-08-28,2024-09-04,2,31371,12.37,54983.42,Debit Card,Delivered,Express
72,1948,73,44,204,2024-07-10,2024-07-16,2,6056,6.72,11298.53,Debit Card,Delivered,Standard
73,980,609,1,22,2025-04-08,2025-04-11,5,17474,9.0,79506.47,Debit Card,Shipped,Standard
74,1000,423,42,243,2024-05-29,,3,35333,8.44,97053.51,JazzCash,Pending,Courier
75,1862,359,20,224,2023-12-01,2023-12-05,5,14931,12.2,65545.4,Debit Card,Delivered,Same Day
76,306,265,8,208,2024-11-15,2024-11-22,2,976,19.58,1569.87,EasyPaisa,Delivered,Pickup
77,462,46,36,140,2024-05-19,2024-05-26,2,26393,2.57,51427.42,EasyPaisa,Delivered,Courier
78,1585,408,16,238,2023-12-19,,3,45581,5.66,128996.9,Mobile Banking,Pending,Standard
79,991,453,42,272,2023-10-31,2023-11-02,4,22929,16.49,76591.31,Cash,Delivered,Express
80,1441,405,75,98,2024-02-26,2024-02-28,2,17040,6.66,31809.02,JazzCash,Delivered,Express
81,1316,679,71,259,2024-09-10,2024-09-15,5,31686,7.97,145809.84,Cash,Delivered,Standard
82,596,615,34,286,2025-06-14,2025-06-20,3,8669,13.51,22492.3,Mobile Banking,Shipped,Standard
83,1714,586,65,240,2025-01-06,,5,28146,18.24,115066.53,Bank Transfer,Pending,Same Day
84,1284,64,50,160,2023-10-14,2023-10-18,2,9431,12.71,16463.93,JazzCash,Delivered,Pickup
85,1064,289,69,151,2024-06-25,,3,10839,15.56,27458.0,Cash,Processing,Express
86,955,562,32,261,2024-01-28,2024-02-01,4,31515,7.66,116401.43,Cash,Shipped,Standard
87,802,80,17,48,2025-08-24,2025-08-25,4,41984,9.79,151493.58,Credit Card,Shipped,Standard
88,1880,274,8,230,2025-06-21,2025-06-28,3,37306,2.01,109672.37,Cash,Delivered,Same Day
89,769,63,47,215,2024-01-08,2024-01-09,4,33080,16.21,110873.68,Debit Card,Delivered,Same Day
90,1562,460,5,273,2025-07-25,2025-07-30,2,48951,5.96,92071.54,Credit Card,Shipped,Same Day
91,262,707,26,83,2024-11-24,2024-12-01,5,39275,0.53,195330.07,JazzCash,Delivered,Pickup
92,1128,492,52,253,2024-02-23,2024-02-28,4,36731,3.23,142185.56,JazzCash,Shipped,Pickup
93,590,111,15,40,2025-02-21,2025-02-24,3,42462,13.7,109929.76,Credit Card,Delivered,Courier
94,1267,661,25,292,2025-06-20,2025-06-24,3,31371,11.21,83559.57,Bank Transfer,Delivered,Pickup
95,962,433,59,288,2023-10-23,2023-10-28,5,31953,13.46,138261.61,JazzCash,Delivered,Pickup
96,1961,403,23,8,2025-01-16,,2,19116,17.44,31565.5,JazzCash,Processing,Courier
97,923,265,62,101,2023-11-02,2023-11-04,5,976,5.46,4613.59,Debit Card,Delivered,Express
98,264,162,64,123,2025-03-16,,4,22610,0.78,89735.46,JazzCash,Pending,Same Day
99,800,369,22,222,2025-07-08,2025-07-14,5,6735,13.81,29023.86,JazzCash,Shipped,Courier
100,1483,367,16,231,2024-11-01,2024-11-03,3,37434,16.36,93931.19,Cash,Delivered,Standard
101,1838,389,49,175,2024-10-30,2024-11-04,3,42908,9.66,116289.52,Mobile Banking,Shipped,Courier
102,1807,744,36,72,2024-07-30,2024-08-02,4,40044,15.54,135282.96,JazzCash,Shipped,Standard
103,1884,435,72,167,2024-12-21,2024-12-28,4,2057,3.44,7945.0,Bank Transfer,Delivered,Same Day
104,1415,149,29,239,2025-07-06,2025-07-09,4,7360,16.49,24586.49,Credit Card,Shipped,Standard
105,715,165,19,196,2023-10-30,2023-11-04,2,33251,15.15,56425.98,JazzCash,Delivered,Express
106,1282,500,12,245,2024-12-03,2024-12-06,3,44964,6.67,125892.24,Mobile Banking,Delivered,Express
107,1235,652,45,70,2024-08-20,,2,3791,13.66,6546.2,Credit Card,Pending,Same Day
108,1034,261,25,21,2024-05-29,2024-06-05,5,44754,13.3,194002.73,Debit Card,Delivered,Courier
109,1975,263,70,13,2024-01-29,2024-02-02,3,32235,5.86,91040.09,Debit Card,Delivered,Courier
110,1227,58,47,99,2025-08-20,,1,8735,5.78,8229.8,JazzCash,Processing,Standard
111,74,596,8,208,2024-04-02,2024-04-03,3,44068,13.63,114184.75,JazzCash,Delivered,Pickup
112,25,240,19,61,2023-10-07,2023-10-12,4,49005,10.56,175320.16,JazzCash,Shipped,Express
113,1165,170,39,67,2025-03-25,2025-03-29,5,36923,8.12,169631.8,Credit Card,Shipped,Express
114,202,306,24,69,2023-12-31,,1,4387,1.24,4332.55,Credit Card,Pending,Standard
115,1397,755,65,284,2024-01-19,2024-01-22,3,31786,16.88,79258.87,JazzCash,Shipped,Courier
116,538,419,13,274,2025-08-10,2025-08-12,1,27828,15.29,23572.63,Debit Card,Shipped,Pickup
117,1773,716,28,113,2024-02-04,,4,47791,8.6,174719.87,Credit Card,Pending,Pickup
118,1368,296,56,244,2025-01-15,2025-01-16,5,3447,13.6,14891.83,Bank Transfer,Shipped,Same Day
119,1431,680,40,195,2024-02-03,2024-02-04,4,35000,15.49,118307.74,Debit Card,Shipped,Pickup
120,1757,349,54,300,2024-12-05,,2,12703,11.0,22611.89,EasyPaisa,Pending,Courier
121,1948,83,69,217,2025-07-12,2025-07-16,5,37698,17.77,154998.73,Mobile Banking,Delivered,Courier
122,905,256,55,34,2024-02-03,2024-02-10,4,42330,12.25,148585.31,JazzCash,Delivered,Pickup
123,966,325,28,113,2024-09-19,2024-09-23,4,35715,19.17,115473.33,Credit Card,Delivered,Standard
124,900,645,24,164,2024-11-12,2024-11-19,3,3061,18.43,7490.89,Bank Transfer,Shipped,Express
125,1219,488,73,2,2023-11-25,2023-12-02,4,10065,11.28,35719.16,Credit Card,Shipped,Courier
126,1814,673,42,272,2025-06-04,2025-06-09,3,40985,17.63,101283.45,Mobile Banking,Shipped,Pickup
127,1431,445,72,267,2024-12-22,2024-12-25,4,34167,2.62,133093.25,Cash,Shipped,Same Day
128,492,632,75,119,2024-10-20,2024-10-24,4,48368,6.21,181456.27,JazzCash,Shipped,Pickup
129,444,442,57,62,2024-07-25,2024-07-28,2,48976,3.13,94888.52,Debit Card,Shipped,Express
130,820,538,59,288,2025-01-04,2025-01-11,5,14352,7.42,66432.68,Debit Card,Shipped,Courier
131,1857,695,28,113,2025-07-05,,4,35816,14.35,122699.86,Debit Card,Processing,Standard
132,1149,471,27,250,2024-07-11,2024-07-16,2,31634,2.08,61953.59,EasyPaisa,Delivered,Pickup
133,443,79,65,240,2024-06-01,2024-06-06,3,12329,14.1,31773.16,EasyPaisa,Delivered,Courier
134,1759,515,7,104,2025-04-15,2025-04-17,1,12505,14.23,10725.44,Debit Card,Delivered,Pickup
135,1593,164,50,177,2024-03-19,2024-03-25,1,42084,7.41,38966.05,Cash,Shipped,Pickup
136,539,224,60,6,2025-04-22,2025-04-29,3,47406,3.55,137167.65,Bank Transfer,Shipped,Same Day
137,979,164,51,17,2024-07-13,2024-07-18,2,42084,8.66,76881.97,Mobile Banking,Shipped,Standard
138,248,193,62,101,2025-03-23,2025-03-25,5,3441,4.16,16489.47,Credit Card,Delivered,Courier
139,1302,793,67,68,2025-08-14,2025-08-18,2,28398,6.96,52845.63,Mobile Banking,Shipped,Pickup
140,862,631,6,194,2024-07-30,2024-08-02,2,25538,7.02,47490.48,Cash,Shipped,Standard
141,170,280,27,250,2023-11-11,2023-11-17,3,28810,5.8,81419.45,EasyPaisa,Delivered,Express
142,1754,634,9,89,2023-09-25,,5,9430,10.3,42295.57,Cash,Processing,Same Day
143,927,441,66,276,2025-04-14,2025-04-15,2,8841,19.22,14284.28,Mobile Banking,Shipped,Standard
144,1189,664,31,12,2024-09-19,2024-09-22,5,39598,1.1,195812.71,Cash,Delivered,Pickup
145,167,345,41,20,2025-04-01,2025-04-06,4,29216,6.77,108953.91,Mobile Banking,Delivered,Same Day
146,946,360,20,224,2023-12-26,2023-12-30,1,11048,10.43,9895.55,Cash,Delivered,Standard
147,824,468,9,138,2025-01-12,2025-01-17,1,10824,2.43,10561.11,Mobile Banking,Delivered,Standard
148,1451,537,23,189,2024-04-06,2024-04-09,4,6719,3.01,26067.69,Bank Transfer,Delivered,Express
149,687,724,45,60,2024-11-13,2024-11-16,4,32772,8.19,120353.23,Mobile Banking,Shipped,Express
150,363,103,60,187,2025-04-21,2025-04-23,2,3525,10.22,6329.5,Credit Card,Shipped,Express
151,1829,791,60,6,2023-10-16,2023-10-17,5,13806,9.44,62511.84,Bank Transfer,Delivered,Express
152,498,85,32,64,2025-02-12,2025-02-13,4,10347,9.56,37431.57,JazzCash,Delivered,Standard
153,1387,136,48,115,2025-08-18,,5,42470,7.06,197347.6,EasyPaisa,Processing,Express
154,1239,718,25,21,2024-12-16,,3,18639,4.79,53239.05,EasyPaisa,Pending,Standard
155,1003,530,26,83,2025-07-06,2025-07-13,2,15331,3.74,29514.84,JazzCash,Delivered,Courier
156,1444,676,18,170,2025-06-22,2025-06-23,2,1469,16.65,2448.72,Bank Transfer,Shipped,Same Day
157,699,77,10,214,2024-07-20,2024-07-27,1,39207,16.66,32673.45,Cash,Delivered,Standard
158,1482,565,61,74,2024-02-11,2024-02-15,3,18645,0.44,55690.61,EasyPaisa,Shipped,Express
159,1180,567,63,24,2024-04-22,2024-04-29,3,18576,11.98,49051.1,Credit Card,Shipped,Express
160,331,132,68,135,2023-11-27,2023-12-03,2,5667,17.12,9393.97,Cash,Shipped,Express
161,1694,527,37,134,2024-08-25,2024-08-26,2,16870,9.08,30676.41,JazzCash,Delivered,Same Day
162,1406,790,39,171,2024-01-03,2024-01-06,3,36702,9.02,100179.55,Credit Card,Shipped,Courier
163,672,146,11,290,2023-08-29,,5,39922,2.89,193836.26,Cash,Processing,Same Day
164,1892,558,6,194,2024-04-28,2024-05-04,2,47340,6.99,88060.36,Credit Card,Shipped,Standard
165,307,178,42,272,2023-10-07,2023-10-14,3,18083,2.68,52797.1,EasyPaisa,Shipped,Pickup
166,555,739,37,181,2024-12-25,2024-12-29,2,24773,18.07,40594.33,EasyPaisa,Delivered,Courier
167,19,5,12,245,2024-06-05,,3,6694,10.82,17909.44,EasyPaisa,Processing,Standard
168,919,162,41,65,2024-11-16,2024-11-22,2,22610,6.0,42506.56,Debit Card,Shipped,Pickup
169,1250,675,15,192,2025-04-05,2025-04-11,5,20066,1.84,98482.63,Mobile Banking,Shipped,Pickup
170,772,543,67,49,2023-12-30,2024-01-04,4,46974,12.59,164244.22,EasyPaisa,Shipped,Standard
171,286,44,48,182,2023-11-27,2023-11-28,5,36772,17.42,151838.19,Debit Card,Delivered,Pickup
172,1803,421,27,179,2024-06-01,2024-06-04,3,15104,16.21,37965.12,Bank Transfer,Shipped,Same Day
173,305,21,10,225,2024-09-03,2024-09-10,5,43651,12.96,189970.7,Mobile Banking,Delivered,Courier
174,461,296,7,199,2023-09-15,,5,3447,6.51,16113.66,Bank Transfer,Pending,Express
175,1073,264,70,28,2025-02-12,2025-02-13,1,19805,9.65,17892.99,JazzCash,Shipped,Standard
176,498,71,12,245,2025-08-20,2025-08-25,1,7350,0.93,7281.48,Credit Card,Shipped,Pickup
177,639,306,37,181,2024-08-30,2024-09-06,4,4387,3.72,16895.41,Bank Transfer,Shipped,Pickup
178,1162,46,24,124,2024-02-10,2024-02-14,4,26393,11.52,93410.73,EasyPaisa,Shipped,Same Day
179,889,708,70,28,2024-03-30,2024-04-03,3,33623,5.62,95200.07,Credit Card,Delivered,Standard
180,1638,691,38,257,2023-10-26,2023-10-27,5,27431,9.95,123512.7,Credit Card,Delivered,Courier
181,1525,702,13,255,2025-03-17,2025-03-18,3,42805,16.26,107539.42,Mobile Banking,Delivered,Express
182,111,464,67,49,2025-05-16,2025-05-23,4,44443,7.82,163871.77,Debit Card,Shipped,Express
183,1999,433,9,89,2024-04-14,2024-04-20,4,31953,6.41,119617.94,Bank Transfer,Shipped,Standard
184,951,423,68,135,2024-07-29,2024-07-30,4,35333,6.45,132220.61,EasyPaisa,Delivered,Courier
185,1530,666,48,182,2024-01-24,2024-01-29,4,17292,0.49,68830.1,EasyPaisa,Shipped,Same Day
186,1581,172,7,104,2025-07-23,2025-07-30,3,33849,18.53,82730.25,Debit Card,Delivered,Express
187,314,83,56,244,2023-09-24,,4,37698,1.09,149155.36,Bank Transfer,Processing,Courier
188,154,561,52,79,2024-04-13,2024-04-17,5,6452,17.71,26546.81,Mobile Banking,Shipped,Standard
189,1938,428,31,12,2024-03-04,,4,10286,8.01,37850.22,Cash,Pending,Same Day
190,1115,297,16,223,2023-10-14,2023-10-20,3,9820,18.25,24082.86,Debit Card,Delivered,Same Day
191,880,747,31,137,2025-04-24,,1,18890,11.51,16715.35,EasyPaisa,Processing,Same Day
192,788,457,75,191,2024-07-17,2024-07-20,5,641,13.58,2769.86,Cash,Delivered,Same Day
193,1887,186,46,110,2025-03-18,2025-03-20,5,15432,1.07,76333.31,JazzCash,Shipped,Same Day
194,424,629,31,137,2023-09-28,2023-10-03,3,2894,12.71,7578.21,Debit Card,Delivered,Standard
195,1109,641,4,152,2024-09-29,2024-10-01,5,2590,17.67,10661.8,Cash,Shipped,Courier
196,1413,52,44,4,2024-05-13,,4,7475,9.49,27061.11,Credit Card,Processing,Express
197,1373,569,25,21,2025-05-23,2025-05-30,2,40452,17.81,66491.95,Mobile Banking,Shipped,Same Day
198,53,104,7,104,2023-11-22,2023-11-24,4,47117,4.33,180308.01,Credit Card,Shipped,Pickup
199,921,481,73,249,2024-04-09,,4,8883,6.27,33304.25,Mobile Banking,Processing,Courier
200,679,320,51,17,2024-01-09,2024-01-10,3,2171,16.16,5460.44,Cash,Delivered,Express
201,427,272,35,166,2024-10-30,2024-11-02,4,18904,1.9,74180.9,Bank Transfer,Delivered,Express
202,1856,609,39,67,2023-12-27,2024-01-01,5,17474,1.89,85721.4,Debit Card,Delivered,Courier
203,426,411,7,150,2025-05-10,2025-05-14,3,17282,15.52,43799.04,JazzCash,Shipped,Pickup
204,788,62,75,127,2025-03-28,2025-04-04,1,49542,0.46,49312.6,JazzCash,Delivered,Express
205,642,164,4,152,2024-07-14,,1,42084,17.18,34853.44,Cash,Processing,Pickup
206,480,72,48,30,2024-11-02,2024-11-05,3,37610,17.17,93460.51,Credit Card,Delivered,Express
207,1397,742,44,4,2024-12-23,2024-12-30,5,2818,11.55,12463.28,Cash,Shipped,Express
208,1,67,73,81,2025-06-02,2025-06-03,3,43701,15.55,110718.49,Credit Card,Delivered,Same Day
209,1699,276,13,66,2024-03-14,2024-03-20,1,39580,12.62,34583.85,Cash,Delivered,Same Day
210,70,221,60,6,2023-12-31,,5,32169,8.5,147171.87,Cash,Processing,Pickup
211,501,512,64,263,2024-03-08,2024-03-11,1,16781,6.89,15624.02,Debit Card,Delivered,Pickup
212,378,697,65,240,2023-12-29,2024-01-01,3,1244,17.43,3081.53,Mobile Banking,Shipped,Courier
213,756,441,14,269,2024-07-31,2024-08-06,4,8841,11.78,31197.54,Cash,Shipped,Standard
214,456,79,8,186,2024-06-24,,4,12329,14.27,42281.03,Bank Transfer,Processing,Pickup
215,1934,72,11,75,2024-08-13,,5,37610,19.67,151066.2,Credit Card,Processing,Standard
216,725,584,32,52,2025-01-07,2025-01-11,1,48654,12.4,42623.26,Bank Transfer,Delivered,Standard
217,1906,284,7,150,2025-07-16,2025-07-19,2,33707,3.35,65155.0,Mobile Banking,Shipped,Courier
218,556,737,57,62,2024-04-20,2024-04-22,4,30765,3.88,118279.59,Credit Card,Delivered,Same Day
219,1339,412,35,166,2025-03-18,2025-03-23,4,11483,4.42,43902.91,Mobile Banking,Shipped,Pickup
220,973,781,7,156,2025-05-02,2025-05-09,3,41599,3.15,120862.84,Cash,Shipped,Courier
221,315,694,11,75,2024-04-08,2024-04-12,1,9316,12.6,8142.22,Credit Card,Shipped,Pickup
222,1702,44,36,246,2025-03-05,,4,36772,11.39,130336.06,JazzCash,Processing,Courier
223,1412,575,15,43,2023-12-12,2023-12-14,1,47368,13.73,40862.2,Mobile Banking,Shipped,Pickup
224,486,590,75,271,2024-10-10,2024-10-16,3,21896,11.81,57930.33,Debit Card,Shipped,Pickup
225,1922,676,26,83,2024-08-16,2024-08-20,3,1469,6.05,4140.57,Cash,Shipped,Courier
226,1642,443,45,31,2024-04-11,,3,22669,3.52,65610.91,Cash,Pending,Pickup
227,563,382,46,77,2023-10-09,2023-10-16,3,14074,16.46,35272.71,Debit Card,Delivered,Courier
228,1973,53,19,193,2024-05-21,,2,38958,11.84,68688.25,Cash,Pending,Same Day
229,641,370,70,11,2024-06-09,2024-06-10,1,12255,16.06,10287.43,JazzCash,Shipped,Express
230,1521,763,48,115,2023-09-18,2023-09-25,5,8606,10.81,38379.07,Cash,Delivered,Standard
231,833,601,41,14,2025-08-02,2025-08-08,2,6726,9.54,12169.23,Cash,Shipped,Same Day
232,453,592,9,5,2025-06-06,2025-06-11,4,1425,0.45,5674.13,Credit Card,Shipped,Standard
233,1614,594,73,106,2023-11-06,2023-11-08,4,10597,3.59,40867.64,JazzCash,Delivered,Express
234,878,80,59,96,2025-07-03,,4,41984,2.9,163063.17,Credit Card,Pending,Courier
235,62,798,30,183,2025-08-21,2025-08-28,1,43335,7.51,40081.57,Mobile Banking,Shipped,Pickup
236,1750,316,43,161,2025-01-06,2025-01-07,2,41038,3.91,78864.69,EasyPaisa,Delivered,Standard
237,370,386,34,84,2025-07-20,2025-07-26,2,16851,16.49,28145.71,JazzCash,Delivered,Standard
238,1279,380,12,235,2023-12-22,2023-12-27,4,30278,7.19,112402.67,JazzCash,Shipped,Same Day
239,162,329,12,245,2024-01-14,2024-01-19,2,11671,0.85,23142.78,Cash,Shipped,Express
240,20,84,50,280,2024-04-22,2024-04-23,2,43041,16.13,72194.61,Mobile Banking,Delivered,Standard
241,939,185,43,180,2024-10-01,2024-10-08,3,44228,1.42,130796.62,JazzCash,Shipped,Same Day
242,1354,250,46,131,2024-02-04,2024-02-09,3,18922,5.25,53782.99,JazzCash,Delivered,Express
243,1169,490,53,178,2024-10-06,2024-10-13,4,26691,17.67,87902.49,Mobile Banking,Delivered,Courier
244,203,96,65,284,2023-09-12,2023-09-13,3,38441,5.57,108903.52,Credit Card,Shipped,Courier
245,720,360,55,34,2025-03-17,,1,11048,19.38,8906.99,Debit Card,Processing,Express
246,1874,479,31,25,2025-05-10,2025-05-17,2,36972,14.69,63081.03,Bank Transfer,Shipped,Express
247,1905,20,60,109,2025-02-22,2025-02-24,3,22758,18.66,55533.38,Mobile Banking,Shipped,Pickup
248,281,641,22,222,2025-06-16,2025-06-19,5,2590,14.19,11112.88,Mobile Banking,Delivered,Pickup
249,1171,181,41,14,2025-01-09,2025-01-16,3,37765,19.06,91704.69,Mobile Banking,Shipped,Standard
250,1535,93,7,199,2025-03-23,2025-03-29,3,23163,3.82,66832.52,Debit Card,Shipped,Same Day
251,72,563,11,129,2024-03-25,2024-04-01,4,29264,15.34,99099.3,EasyPaisa,Shipped,Courier
252,1838,159,54,202,2025-05-23,2025-05-26,1,49220,9.04,44770.29,Mobile Banking,Shipped,Standard
253,1465,460,47,215,2025-06-23,2025-06-27,4,48951,3.04,189841.86,EasyPaisa,Shipped,Express
254,993,216,20,224,2025-07-20,2025-07-21,5,2068,7.57,9557.04,JazzCash,Shipped,Pickup
255,333,395,61,112,2025-01-29,2025-02-02,3,30053,8.78,82246.38,Credit Card,Shipped,Pickup
256,1042,191,65,284,2024-02-07,2024-02-11,1,13906,14.88,11836.11,Debit Card,Delivered,Express
257,1463,335,21,162,2024-06-21,2024-06-24,5,22043,18.01,90370.55,Debit Card,Shipped,Same Day
258,1919,435,35,201,2023-09-11,,1,2057,6.21,1929.33,Bank Transfer,Pending,Same Day
259,1771,468,50,87,2024-03-29,2024-03-30,3,10824,12.26,28491.14,EasyPaisa,Delivered,Standard
