PRODUCT_ID,PRODUCT_NAME,CATEGORY_ID,BRAND,MODEL,DESCRIPTION,UNIT_COST,UNIT_PRICE,MSRP,WEIGHT_KG,DIMENSIONS_CM,IS_ACTIVE
28,Nike Product 28,7,Nike,Model-3147,High quality nike product 28 from Nike,35609.23,48050,59448.04,1.42,97x13x33 cm,True
29,Suzuki Product 29,4,Suzuki,Model-9197,High quality suzuki product 29 from Suzuki,24165.4,34481,42404.45,6.6,36x32x41 cm,False
30,Nissan Product 30,4,Nissan,Model-5189,High quality nissan product 30 from Nissan,22783.09,37381,42287.1,9.36,30x31x31 cm,False
31,Engro Rice,3,Engro,Model-5976,High quality engro rice from Engro,7225.92,10246,12093.84,0.97,53x98x49 cm,True
32,Samsung Camera 12,1,Samsung,Model-7916,High quality samsung camera 12 from Samsung,12097.82,16492,19411.55,3.0,95x10x37 cm,True
33,Clean & Clear Product 33,6,Clean & Clear,Model-7837,High quality clean & clear product 33 from Clean & Clear,22110.9,33635,41975.28,5.69,65x97x11 cm,True
34,Habitt Product 34,5,Habitt,Model-5580,High quality habitt product 34 from Habitt,10569.39,16265,20155.96,9.46,41x68x36 cm,True
35,QMobile Speaker 4,1,QMobile,Model-7390,High quality qmobile speaker 4 from QMobile,29773.49,43863,51647.11,3.31,39x57x30 cm,True
36,Chenab Product 36,5,Chenab,Model-5046,High quality chenab product 36 from Chenab,6097.8,9669,11688.25,5.9,45x65x25 cm,True
37,Bonanza Suit,2,Bonanza,Model-4505,High quality bonanza suit from Bonanza,10704.02,15043,19113.86,6.82,78x64x38 cm,False
38,Honda Product 38,4,Honda,Model-8447,High quality honda product 38 from Honda,19221.95,31132,36399.12,1.02,58x95x14 cm,True
39,Under Armour Product 39,7,Under Armour,Model-8192,High quality under armour product 39 from Under Armour,35268.06,45497,56586.34,0.95,45x35x8 cm,True
40,Gul Ahmed Dupatta,2,Gul Ahmed,Model-6918,High quality gul ahmed dupatta from Gul Ahmed,20843.45,27304,35301.64,7.7,45x99x33 cm,True
41,Mitchells Juice,3,Mitchells,Model-1036,High quality mitchells juice from Mitchells,32853.08,49640,63346.28,1.26,95x93x42 cm,False
42,Shan Foods Biscuits,3,Shan Foods,Model-3742,High quality shan foods biscuits from Shan Foods,12914.8,20451,26486.8,0.08,89x58x28 cm,True
43,Under Armour Product 43,7,Under Armour,Model-3366,High quality under armour product 43 from Under Armour,30004.82,42545,51113.11,0.67,89x56x8 cm,True
44,Unilever Milk,3,Unilever,Model-1854,High quality unilever milk from Unilever,25381.11,36772,42836.16,1.12,42x12x15 cm,True
45,Fair & Lovely Product 45,6,Fair & Lovely,Model-7799,High quality fair & lovely product 45 from Fair & Lovely,31885.99,40431,52243.29,8.0,89x34x45 cm,True
46,Reebok Product 46,7,Reebok,Model-3335,High quality reebok product 46 from Reebok,19655.81,26393,30930.77,1.95,84x14x3 cm,False
47,Toyota Product 47,4,Toyota,Model-4495,High quality toyota product 47 from Toyota,30112.28,47559,54698.15,8.07,88x100x16 cm,True
48,Nike Product 48,7,Nike,Model-3770,High quality nike product 48 from Nike,29666.94,37700,42038.35,0.2,56x14x39 cm,True
49,Infinix Charger 20,1,Infinix,Model-6007,High quality infinix charger 20 from Infinix,27723.14,35696,39425.99,8.53,100x76x15 cm,True
50,Ponds Product 50,6,Ponds,Model-4005,High quality ponds product 50 from Ponds,30049.61,39362,47854.74,6.0,95x78x3 cm,True
51,Chen One Kurta,2,Chen One,Model-5689,High quality chen one kurta from Chen One,12008.43,15874,20086.29,4.28,45x13x9 cm,True
52,Nissan Product 52,4,Nissan,Model-3882,High quality nissan product 52 from Nissan,4714.1,7475,8388.45,1.39,57x47x28 cm,True
53,Alkaram Shirt,2,Alkaram,Model-5347,High quality alkaram shirt from Alkaram,26199.85,38958,50031.99,6.02,24x80x7 cm,True
54,Staedtler Product 54,8,Staedtler,Model-6914,High quality staedtler product 54 from Staedtler,4227.19,6473,7601.3,1.57,53x91x11 cm,True
55,Interwood Product 55,5,Interwood,Model-5619,High quality interwood product 55 from Interwood,16782.28,27399,33766.97,0.22,83x15x32 cm,True
56,Nissan Product 56,4,Nissan,Model-4991,High quality nissan product 56 from Nissan,25272.73,38377,46690.62,2.92,68x59x10 cm,True
57,Chenab Product 57,5,Chenab,Model-6619,High quality chenab product 57 from Chenab,17901.73,23391,29966.61,3.36,64x31x40 cm,False
58,Daihatsu Product 58,4,Daihatsu,Model-8339,High quality daihatsu product 58 from Daihatsu,6853.44,8735,9963.69,5.27,16x26x35 cm,False
59,Ponds Product 59,6,Ponds,Model-8123,High quality ponds product 59 from Ponds,21043.02,29617,37417.0,3.68,25x36x31 cm,True
60,Toyota Product 60,4,Toyota,Model-5347,High quality toyota product 60 from Toyota,34582.33,46669,53759.7,1.96,27x25x2 cm,True
61,IKEA Product 61,5,IKEA,Model-1086,High quality ikea product 61 from IKEA,26242.21,33184,38321.02,2.69,13x82x44 cm,True
62,Under Armour Product 62,7,Under Armour,Model-4540,High quality under armour product 62 from Under Armour,38399.61,49542,62453.36,0.24,40x80x8 cm,True
63,Ponds Product 63,6,Ponds,Model-1926,High quality ponds product 63 from Ponds,22968.29,33080,40738.11,3.7,32x83x19 cm,False
64,Chen One Suit,2,Chen One,Model-1174,High quality chen one suit from Chen One,7070.39,9431,11750.94,4.28,60x10x2 cm,True
65,Reebok Product 65,7,Reebok,Model-1302,High quality reebok product 65 from Reebok,2626.96,3662,4075.96,0.35,44x53x14 cm,True
66,Furniture Mall Product 66,5,Furniture Mall,Model-8616,High quality furniture mall product 66 from Furniture Mall,12186.75,16135,18533.49,1.45,85x43x20 cm,False
67,Bonanza Suit,2,Bonanza,Model-2194,High quality bonanza suit from Bonanza,29719.64,43701,51251.73,3.79,56x82x42 cm,True
68,Sapphire Kurta,2,Sapphire,Model-4457,High quality sapphire kurta from Sapphire,4497.05,7164,7990.99,7.09,95x70x49 cm,True
69,Bonanza Shirt,2,Bonanza,Model-2437,High quality bonanza shirt from Bonanza,5203.95,6567,7906.59,0.19,70x32x18 cm,True
70,Oxford Product 70,8,Oxford,Model-4493,High quality oxford product 70 from Oxford,4272.07,5496,6569.81,1.0,14x45x40 cm,True
71,Reebok Product 71,7,Reebok,Model-7586,High quality reebok product 71 from Reebok,5750.84,7350,9042.58,0.13,28x60x17 cm,True
72,Bonanza Suit,2,Bonanza,Model-3480,High quality bonanza suit from Bonanza,25741.45,37610,48874.06,8.2,24x28x12 cm,True
73,Clean & Clear Product 73,6,Clean & Clear,Model-2251,High quality clean & clear product 73 from Clean & Clear,4427.77,6056,7314.28,7.86,82x37x10 cm,False
74,Staedtler Product 74,8,Staedtler,Model-8288,High quality staedtler product 74 from Staedtler,11474.56,16509,18207.77,0.88,88x87x39 cm,True
75,Mitsubishi Product 75,4,Mitsubishi,Model-7236,High quality mitsubishi product 75 from Mitsubishi,24033.1,30634,38118.15,0.64,54x21x50 cm,False
76,Samsung TV 14,1,Samsung,Model-8319,High quality samsung tv 14 from Samsung,32208.86,41203,49381.36,8.51,42x62x25 cm,True
77,Interwood Product 77,5,Interwood,Model-4536,High quality interwood product 77 from Interwood,26834.97,39207,48766.7,7.6,71x30x46 cm,True
78,Oxford Product 78,8,Oxford,Model-9988,High quality oxford product 78 from Oxford,29734.05,37618,41636.95,2.0,66x53x11 cm,True
79,Chen One Shirt,2,Chen One,Model-3582,High quality chen one shirt from Chen One,9839.46,12329,14962.15,6.28,22x66x20 cm,False
80,Ponds Product 80,6,Ponds,Model-4475,High quality ponds product 80 from Ponds,33415.14,41984,53625.98,7.64,99x61x27 cm,False
81,Garnier Product 81,6,Garnier,Model-8506,High quality garnier product 81 from Garnier,23756.03,39188,44815.18,3.77,71x21x22 cm,True
82,Chen One Pants,2,Chen One,Model-8644,High quality chen one pants from Chen One,20823.36,26210,32672.08,4.33,67x28x42 cm,False
83,Pilot Product 83,8,Pilot,Model-2720,High quality pilot product 83 from Pilot,29868.77,37698,43065.83,1.32,66x16x23 cm,False
84,Interwood Product 84,5,Interwood,Model-1236,High quality interwood product 84 from Interwood,26776.55,43041,55191.34,8.16,16x20x25 cm,True
85,Habitt Product 85,5,Habitt,Model-4224,High quality habitt product 85 from Habitt,8136.65,10347,11529.24,2.07,80x57x10 cm,True
86,Oxford Product 86,8,Oxford,Model-2824,High quality oxford product 86 from Oxford,6916.36,9515,11933.15,1.23,54x79x22 cm,True
87,Oxford Product 87,8,Oxford,Model-5059,High quality oxford product 87 from Oxford,9628.22,13087,14791.62,0.69,12x32x27 cm,True
88,Staedtler Product 88,8,Staedtler,Model-6871,High quality staedtler product 88 from Staedtler,8630.72,13145,16379.56,0.41,70x71x46 cm,True
89,L'Oreal Product 89,6,L'Oreal,Model-2186,High quality l'oreal product 89 from L'Oreal,8828.66,12315,15771.14,3.54,31x28x38 cm,True
90,Habitt Product 90,5,Habitt,Model-6432,High quality habitt product 90 from Habitt,26111.29,42148,46554.73,1.57,95x27x39 cm,True
91,Interwood Product 91,5,Interwood,Model-8412,High quality interwood product 91 from Interwood,14034.74,19650,24340.28,6.51,98x83x42 cm,False
92,Furniture Mall Product 92,5,Furniture Mall,Model-1065,High quality furniture mall product 92 from Furniture Mall,37940.16,49329,54862.79,7.89,23x52x26 cm,True
93,Mitchells Milk,3,Mitchells,Model-6926,High quality mitchells milk from Mitchells,17020.51,23163,25593.63,0.31,95x59x18 cm,False
94,Honda Product 94,4,Honda,Model-2301,High quality honda product 94 from Honda,10316.8,15313,19160.09,8.96,90x10x27 cm,True
95,Pelikan Product 95,8,Pelikan,Model-4204,High quality pelikan product 95 from Pelikan,4449.5,6263,7288.57,1.52,34x27x38 cm,False
96,Under Armour Product 96,7,Under Armour,Model-1667,High quality under armour product 96 from Under Armour,23266.43,38441,48077.45,1.82,39x58x27 cm,True
97,L'Oreal Product 97,6,L'Oreal,Model-8181,High quality l'oreal product 97 from L'Oreal,19648.05,25293,28432.75,0.28,30x90x16 cm,False
98,Bonanza Dress,2,Bonanza,Model-5872,High quality bonanza dress from Bonanza,9045.59,11856,13142.58,4.01,32x78x48 cm,True
99,Suzuki Product 99,4,Suzuki,Model-1286,High quality suzuki product 99 from Suzuki,19730.8,24698,31687.24,0.43,29x46x38 cm,True
100,Staedtler Product 100,8,Staedtler,Model-2819,High quality staedtler product 100 from Staedtler,21945.12,35404,45575.83,1.33,48x99x21 cm,True
101,Staedtler Product 101,8,Staedtler,Model-9573,High quality staedtler product 101 from Staedtler,21738.4,27591,33026.06,0.52,24x52x43 cm,True
102,Fair & Lovely Product 102,6,Fair & Lovely,Model-7974,High quality fair & lovely product 102 from Fair & Lovely,3646.39,5698,6763.7,1.59,13x23x11 cm,True
103,Dollar Product 103,8,Dollar,Model-6424,High quality dollar product 103 from Dollar,2172.79,3525,3953.48,1.01,62x61x15 cm,True
104,Oxford Product 104,8,Oxford,Model-2261,High quality oxford product 104 from Oxford,33611.4,47117,58671.9,0.04,69x61x36 cm,True
105,Ponds Product 105,6,Ponds,Model-8621,High quality ponds product 105 from Ponds,19926.03,28207,35174.54,5.06,96x14x50 cm,False
106,Habitt Product 106,5,Habitt,Model-7837,High quality habitt product 106 from Habitt,8845.72,11693,14174.57,4.64,50x84x13 cm,False
107,Oppo Tablet 9,1,Oppo,Model-2753,High quality oppo tablet 9 from Oppo,20545.3,27917,31599.65,5.78,75x72x31 cm,True
108,IKEA Product 108,5,IKEA,Model-7239,High quality ikea product 108 from IKEA,35010.56,49716,55649.22,5.03,59x45x45 cm,True
109,Nissan Product 109,4,Nissan,Model-4958,High quality nissan product 109 from Nissan,19917.65,32833,42669.79,6.64,49x72x38 cm,True
110,Puma Product 110,7,Puma,Model-6570,High quality puma product 110 from Puma,12134.12,17621,20604.56,0.51,23x17x50 cm,True
111,Fair & Lovely Product 111,6,Fair & Lovely,Model-6070,High quality fair & lovely product 111 from Fair & Lovely,29291.93,42462,46805.11,2.27,14x78x48 cm,True
112,Garnier Product 112,6,Garnier,Model-9562,High quality garnier product 112 from Garnier,14813.1,18796,22439.21,0.95,58x44x45 cm,False
113,Habitt Product 113,5,Habitt,Model-5290,High quality habitt product 113 from Habitt,11062.91,14526,16876.37,1.14,84x12x47 cm,True
114,Daihatsu Product 114,4,Daihatsu,Model-5615,High quality daihatsu product 114 from Daihatsu,14289.81,19552,22060.42,4.22,67x32x18 cm,True
115,Oppo Tablet 8,1,Oppo,Model-7093,High quality oppo tablet 8 from Oppo,21212.91,32213,39967.83,4.12,46x82x16 cm,True
116,Dollar Product 116,8,Dollar,Model-4531,High quality dollar product 116 from Dollar,34969.54,46793,56168.76,0.25,35x49x26 cm,True
117,Clean & Clear Product 117,6,Clean & Clear,Model-3899,High quality clean & clear product 117 from Clean & Clear,5399.8,8453,10428.95,1.23,29x23x5 cm,True
118,Fair & Lovely Product 118,6,Fair & Lovely,Model-5312,High quality fair & lovely product 118 from Fair & Lovely,22282.55,34489,43527.71,0.22,97x98x3 cm,False
119,Staedtler Product 119,8,Staedtler,Model-5031,High quality staedtler product 119 from Staedtler,18732.73,24872,30579.3,0.35,27x44x44 cm,True
120,Gul Ahmed Shirt,2,Gul Ahmed,Model-9755,High quality gul ahmed shirt from Gul Ahmed,3632.08,5951,7326.65,1.86,46x89x43 cm,False
121,National Foods Milk,3,National Foods,Model-7005,High quality national foods milk from National Foods,32693.98,48382,61779.73,0.89,12x69x27 cm,False
122,Nissan Product 122,4,Nissan,Model-2174,High quality nissan product 122 from Nissan,562.64,841,1008.41,7.72,37x33x37 cm,False
123,Gul Ahmed Pants,2,Gul Ahmed,Model-7722,High quality gul ahmed pants from Gul Ahmed,19375.32,32154,39568.39,7.94,18x43x17 cm,True
124,Under Armour Product 124,7,Under Armour,Model-9683,High quality under armour product 124 from Under Armour,7560.18,10850,14030.95,1.17,50x10x30 cm,True
125,Nestle Biscuits,3,Nestle,Model-6192,High quality nestle biscuits from Nestle,9616.69,12641,14226.66,0.86,77x38x1 cm,True
126,QMobile Headphones 2,1,QMobile,Model-3313,High quality qmobile headphones 2 from QMobile,37338.75,47790,60130.04,6.13,93x34x24 cm,True
127,Pilot Product 127,8,Pilot,Model-7149,High quality pilot product 127 from Pilot,32258.49,40973,46571.64,0.42,92x61x10 cm,True
128,Chen One Shirt,2,Chen One,Model-2685,High quality chen one shirt from Chen One,6315.22,8933,10032.47,3.88,49x23x40 cm,True
129,Tecno Headphones 14,1,Tecno,Model-2928,High quality tecno headphones 14 from Tecno,22978.5,35731,42788.28,9.18,97x30x45 cm,False
130,Nissan Product 130,4,Nissan,Model-2647,High quality nissan product 130 from Nissan,15285.05,23932,28229.44,8.39,12x87x43 cm,True
131,Dollar Product 131,8,Dollar,Model-5631,High quality dollar product 131 from Dollar,18348.05,29036,33194.11,1.62,82x20x4 cm,True
132,Chenab Product 132,5,Chenab,Model-5145,High quality chenab product 132 from Chenab,3968.22,5667,7238.76,2.28,88x100x30 cm,True
133,Alkaram Dress,2,Alkaram,Model-9980,High quality alkaram dress from Alkaram,8610.93,13532,15567.55,4.13,31x44x1 cm,True
134,Pelikan Product 134,8,Pelikan,Model-5702,High quality pelikan product 134 from Pelikan,18862.23,26786,32244.24,1.39,72x17x30 cm,True
135,Staedtler Product 135,8,Staedtler,Model-7159,High quality staedtler product 135 from Staedtler,11714.84,14766,16761.09,1.05,82x15x28 cm,True
136,Fair & Lovely Product 136,6,Fair & Lovely,Model-4679,High quality fair & lovely product 136 from Fair & Lovely,27584.86,42470,50216.66,4.74,27x49x1 cm,True
137,Gul Ahmed Kurta,2,Gul Ahmed,Model-3115,High quality gul ahmed kurta from Gul Ahmed,3288.31,4369,5367.98,2.82,38x39x23 cm,True
138,Infinix Camera 9,1,Infinix,Model-6829,High quality infinix camera 9 from Infinix,25393.45,38910,48576.19,7.31,59x24x14 cm,True
139,Interwood Product 139,5,Interwood,Model-2972,High quality interwood product 139 from Interwood,2842.34,3598,4107.28,1.21,78x73x38 cm,True
140,Sapphire Scarf,2,Sapphire,Model-9401,High quality sapphire scarf from Sapphire,4965.51,7909,8910.94,3.1,79x31x43 cm,True
141,Nissan Product 141,4,Nissan,Model-2267,High quality nissan product 141 from Nissan,12422.73,18117,21365.93,8.04,96x15x36 cm,True
142,Huawei Laptop 19,1,Huawei,Model-4326,High quality huawei laptop 19 from Huawei,29189.05,37951,41875.18,8.43,23x91x36 cm,True
143,Under Armour Product 143,7,Under Armour,Model-3587,High quality under armour product 143 from Under Armour,17220.71,24531,29257.41,0.08,50x62x39 cm,True
144,Mitsubishi Product 144,4,Mitsubishi,Model-6674,High quality mitsubishi product 144 from Mitsubishi,13153.89,18039,23244.9,3.0,77x76x45 cm,False
145,Chen One Shirt,2,Chen One,Model-5954,High quality chen one shirt from Chen One,23773.92,35829,43080.02,1.54,92x86x7 cm,True
146,Oxford Product 146,8,Oxford,Model-4552,High quality oxford product 146 from Oxford,24378.38,39922,45858.74,1.31,75x77x22 cm,True
147,Tecno Tablet 8,1,Tecno,Model-9092,High quality tecno tablet 8 from Tecno,10139.05,13121,16919.83,6.95,32x77x35 cm,False
148,Ponds Product 148,6,Ponds,Model-6251,High quality ponds product 148 from Ponds,38318.8,48203,58738.76,8.49,69x78x36 cm,True
149,QMobile TV 5,1,QMobile,Model-5331,High quality qmobile tv 5 from QMobile,5676.45,7360,9265.39,5.16,47x81x47 cm,True
150,Samsung Headphones 2,1,Samsung,Model-3891,High quality samsung headphones 2 from Samsung,17354.94,24444,27470.98,8.62,79x60x16 cm,True
151,National Foods Biscuits,3,National Foods,Model-5712,High quality national foods biscuits from National Foods,21617.3,33987,42529.83,0.76,49x51x10 cm,True
152,Ponds Product 152,6,Ponds,Model-4576,High quality ponds product 152 from Ponds,22061.36,29520,34574.08,3.17,63x16x19 cm,True
153,Dollar Product 153,8,Dollar,Model-9593,High quality dollar product 153 from Dollar,24903.82,34959,41705.35,0.18,87x17x34 cm,True
154,Mitsubishi Product 154,4,Mitsubishi,Model-8471,High quality mitsubishi product 154 from Mitsubishi,2914.93,4191,5429.82,1.79,10x85x11 cm,True
155,Toyota Product 155,4,Toyota,Model-9091,High quality toyota product 155 from Toyota,19611.94,24628,28749.51,9.8,74x75x29 cm,True
156,Dollar Product 156,8,Dollar,Model-6403,High quality dollar product 156 from Dollar,22604.64,33348,39923.02,1.07,39x56x34 cm,True
157,L'Oreal Product 157,6,L'Oreal,Model-6332,High quality l'oreal product 157 from L'Oreal,1436.45,1861,2209.12,1.25,42x23x8 cm,True
158,Staedtler Product 158,8,Staedtler,Model-9298,High quality staedtler product 158 from Staedtler,22720.98,29763,36226.31,1.29,24x72x49 cm,False
159,Dollar Product 159,8,Dollar,Model-7735,High quality dollar product 159 from Dollar,32410.1,49220,62409.39,1.0,98x70x6 cm,True
160,Staedtler Product 160,8,Staedtler,Model-9810,High quality staedtler product 160 from Staedtler,5645.31,8534,9546.0,1.16,43x74x31 cm,True
161,Chenab Product 161,5,Chenab,Model-3501,High quality chenab product 161 from Chenab,12747.29,21187,23578.4,4.85,56x72x14 cm,True
162,Clean & Clear Product 162,6,Clean & Clear,Model-3884,High quality clean & clear product 162 from Clean & Clear,13600.53,22610,28806.44,1.12,60x55x8 cm,True
163,Pelikan Product 163,8,Pelikan,Model-8818,High quality pelikan product 163 from Pelikan,5224.6,8584,10654.78,0.36,19x46x20 cm,True
164,Alkaram Kurta,2,Alkaram,Model-6447,High quality alkaram kurta from Alkaram,31125.62,42084,48113.16,7.9,80x15x50 cm,False
165,Shan Foods Rice,3,Shan Foods,Model-8580,High quality shan foods rice from Shan Foods,24602.61,33251,40150.3,1.07,86x86x50 cm,True
166,Adidas Product 166,7,Adidas,Model-5341,High quality adidas product 166 from Adidas,35170.76,45904,54023.11,0.55,35x43x1 cm,False
167,Garnier Product 167,6,Garnier,Model-3689,High quality garnier product 167 from Garnier,2683.47,3937,4475.68,1.29,52x71x13 cm,True
168,Vivo Smartphone 12,1,Vivo,Model-1311,High quality vivo smartphone 12 from Vivo,1533.3,2469,3093.11,0.32,77x20x16 cm,True
169,L'Oreal Product 169,6,L'Oreal,Model-2538,High quality l'oreal product 169 from L'Oreal,3014.87,3887,4823.78,0.47,42x58x9 cm,False
170,Clean & Clear Product 170,6,Clean & Clear,Model-5423,High quality clean & clear product 170 from Clean & Clear,25485.9,36923,44794.21,4.58,75x77x50 cm,False
171,Interwood Product 171,5,Interwood,Model-3564,High quality interwood product 171 from Interwood,20249.74,27782,33319.62,5.06,90x18x15 cm,True
172,Oxford Product 172,8,Oxford,Model-5953,High quality oxford product 172 from Oxford,26477.8,33849,37393.94,1.34,97x38x23 cm,True
173,Oppo Smartphone 9,1,Oppo,Model-2873,High quality oppo smartphone 9 from Oppo,15660.68,22462,26530.91,4.0,66x59x19 cm,True
174,Under Armour Product 174,7,Under Armour,Model-2310,High quality under armour product 174 from Under Armour,6705.74,11157,13412.52,0.86,93x36x22 cm,True
175,Daihatsu Product 175,4,Daihatsu,Model-4545,High quality daihatsu product 175 from Daihatsu,17538.43,22304,24546.14,2.17,34x85x47 cm,True
176,Fair & Lovely Product 176,6,Fair & Lovely,Model-5756,High quality fair & lovely product 176 from Fair & Lovely,970.39,1222,1418.85,9.01,94x89x47 cm,True
177,Alkaram Shirt,2,Alkaram,Model-6373,High quality alkaram shirt from Alkaram,20777.83,26731,29535.73,2.67,55x21x40 cm,False
178,Oxford Product 178,8,Oxford,Model-3671,High quality oxford product 178 from Oxford,13428.01,18083,20116.02,0.82,22x72x34 cm,True
179,Samsung Speaker 7,1,Samsung,Model-8638,High quality samsung speaker 7 from Samsung,2095.99,3081,3612.73,7.81,28x11x25 cm,True
180,Nike Product 180,7,Nike,Model-7715,High quality nike product 180 from Nike,11806.13,17565,21712.86,0.2,16x44x8 cm,True
181,Pelikan Product 181,8,Pelikan,Model-4996,High quality pelikan product 181 from Pelikan,28773.33,37765,44049.3,0.62,33x45x44 cm,False
182,Puma Product 182,7,Puma,Model-4425,High quality puma product 182 from Puma,10036.94,15669,17857.05,1.22,41x100x47 cm,True
183,Interwood Product 183,5,Interwood,Model-3621,High quality interwood product 183 from Interwood,26903.78,44171,48884.03,4.48,16x22x31 cm,True
184,L'Oreal Product 184,6,L'Oreal,Model-2799,High quality l'oreal product 184 from L'Oreal,11564.51,17258,22245.4,4.47,12x26x44 cm,True
185,National Foods Chocolate,3,National Foods,Model-2751,High quality national foods chocolate from National Foods,29205.84,44228,56949.01,1.27,93x37x13 cm,True
186,Alkaram Scarf,2,Alkaram,Model-2173,High quality alkaram scarf from Alkaram,9867.8,15432,17875.33,9.56,50x42x20 cm,True
187,Nestle Tea,3,Nestle,Model-4935,High quality nestle tea from Nestle,3973.42,5125,5907.32,1.05,73x75x27 cm,True
188,Fair & Lovely Product 188,6,Fair & Lovely,Model-1628,High quality fair & lovely product 188 from Fair & Lovely,36300.72,48493,56542.89,3.06,67x71x45 cm,True
189,Adidas Product 189,7,Adidas,Model-3301,High quality adidas product 189 from Adidas,20370.88,31960,40115.05,1.76,81x88x34 cm,False
190,Khaadi Pants,2,Khaadi,Model-8375,High quality khaadi pants from Khaadi,13690.64,18015,22999.57,3.31,12x34x19 cm,True
191,Bonanza Scarf,2,Bonanza,Model-4638,High quality bonanza scarf from Bonanza,10087.03,13906,16106.93,2.25,72x68x35 cm,False
192,Nissan Product 192,4,Nissan,Model-7418,High quality nissan product 192 from Nissan,10826.19,17836,22714.32,4.02,58x47x8 cm,True
193,Daihatsu Product 193,4,Daihatsu,Model-1136,High quality daihatsu product 193 from Daihatsu,2484.84,3441,3987.89,4.34,37x74x33 cm,True
194,Pelikan Product 194,8,Pelikan,Model-3158,High quality pelikan product 194 from Pelikan,32441.07,41269,53455.36,0.06,92x68x38 cm,True
